2026-06-27 05:56:14,255 - INFO - Model rebuilt from CSV.
2026-06-27 05:56:15,000 - INFO - Extracted solutions for 42 cases.
2026-06-27 05:56:15,077 - INFO - predict_outcome [weighted]: top_k=['case_026', 'case_014', 'case_032', 'case_025', 'case_030'], predicted='mengadili perkara perdata agama pada tingkat pertama dalamsidang majelis hakim y'
2026-06-27 05:56:15,084 - INFO - predict_outcome [majority]: top_k=['case_026', 'case_014', 'case_032', 'case_025', 'case_030'], predicted='mengadili perkara perdata agama pada tingkat pertama dalamsidang majelis hakim y'
2026-06-27 05:56:15,092 - INFO - predict_outcome [weighted]: top_k=['case_036', 'case_018', 'case_034', 'case_038', 'case_040'], predicted='mengadili perkara perkara pidana pada pengadilan tingkat pertama dengan acara pe'
2026-06-27 05:56:15,099 - INFO - predict_outcome [majority]: top_k=['case_036', 'case_018', 'case_034', 'case_038', 'case_040'], predicted='mengadili perkara perkara pidana pada pengadilan tingkat pertama dengan acara pe'
2026-06-27 05:56:15,108 - INFO - predict_outcome [weighted]: top_k=['case_031', 'case_001', 'case_035', 'case_021', 'case_013'], predicted='mengadili perkara perkara pidana secara biasa pada peradilan tingkat pertama tel'
2026-06-27 05:56:15,116 - INFO - predict_outcome [majority]: top_k=['case_031', 'case_001', 'case_035', 'case_021', 'case_013'], predicted='mengadili perkara perkara pidana secara biasa pada peradilan tingkat pertama tel'
2026-06-27 05:56:15,123 - INFO - predict_outcome [weighted]: top_k=['case_018', 'case_034', 'case_038', 'case_040', 'case_036'], predicted='mengadili perkara perkara pidana dengan acara pemeriksaan biasa pada peradilan t'
2026-06-27 05:56:15,129 - INFO - predict_outcome [majority]: top_k=['case_018', 'case_034', 'case_038', 'case_040', 'case_036'], predicted='mengadili perkara perkara pidana dengan acara pemeriksaan biasa pada peradilan t'
2026-06-27 05:56:15,136 - INFO - predict_outcome [weighted]: top_k=['case_015', 'case_044', 'case_019', 'case_020', 'case_043'], predicted='mengadili perkara pidana pada tingkat pertama dengan acara pemeriksaan biasa men'
2026-06-27 05:56:15,144 - INFO - predict_outcome [majority]: top_k=['case_015', 'case_044', 'case_019', 'case_020', 'case_043'], predicted='mengadili perkara pidana pada tingkat pertama dengan acara pemeriksaan biasa men'
2026-06-27 05:56:15,850 - INFO - predict_outcome [weighted]: top_k=['case_014', 'case_026', 'case_032', 'case_025', 'case_030'], predicted='mengadili perkaratertentu pada tingkat pertama dalam persidangan majelis telah m'
2026-06-27 05:56:15,859 - INFO - predict_outcome [majority]: top_k=['case_014', 'case_026', 'case_032', 'case_025', 'case_030'], predicted='mengadili perkaratertentu pada tingkat pertama dalam persidangan majelis telah m'
2026-06-27 05:56:15,869 - INFO - predict_outcome [weighted]: top_k=['case_040', 'case_034', 'case_038', 'case_018', 'case_006'], predicted='mengadili perkara perkara pidana dengan acara pemeriksaan biasa pada peradilan t'
2026-06-27 05:56:15,879 - INFO - predict_outcome [majority]: top_k=['case_040', 'case_034', 'case_038', 'case_018', 'case_006'], predicted='mengadili perkara perkara pidana dengan acara pemeriksaan biasa pada peradilan t'
2026-06-27 05:56:15,889 - INFO - predict_outcome [weighted]: top_k=['case_031', 'case_035', 'case_001', 'case_021', 'case_013'], predicted='mengadili perkara perkara pidana secara biasa pada peradilan tingkat pertama tel'
2026-06-27 05:56:15,898 - INFO - predict_outcome [majority]: top_k=['case_031', 'case_035', 'case_001', 'case_021', 'case_013'], predicted='mengadili perkara perkara pidana secara biasa pada peradilan tingkat pertama tel'
2026-06-27 05:56:15,908 - INFO - predict_outcome [weighted]: top_k=['case_046', 'case_039', 'case_043', 'case_011', 'case_049'], predicted='mengadili perkara pidana dengan acara pemeriksaan biasa dalam tingkat pertama me'
2026-06-27 05:56:15,916 - INFO - predict_outcome [majority]: top_k=['case_046', 'case_039', 'case_043', 'case_011', 'case_049'], predicted='mengadili perkara pidana dengan acara pemeriksaan biasa dalam tingkat pertama me'
2026-06-27 05:56:15,926 - INFO - predict_outcome [weighted]: top_k=['case_018', 'case_034', 'case_038', 'case_040', 'case_036'], predicted='mengadili perkara perkara pidana dengan acara pemeriksaan biasa pada peradilan t'
2026-06-27 05:56:15,937 - INFO - predict_outcome [majority]: top_k=['case_018', 'case_034', 'case_038', 'case_040', 'case_036'], predicted='mengadili perkara perkara pidana dengan acara pemeriksaan biasa pada peradilan t'
2026-06-27 05:56:15,948 - INFO - predict_outcome [weighted]: top_k=['case_049', 'case_039', 'case_011', 'case_043', 'case_037'], predicted='mengadili perkara pidana dengan acara pemeriksaan biasa dalam tingkat pertama me'
2026-06-27 05:56:15,960 - INFO - predict_outcome [majority]: top_k=['case_049', 'case_039', 'case_011', 'case_043', 'case_037'], predicted='mengadili perkara pidana dengan acara pemeriksaan biasa dalam tingkat pertama me'
2026-06-27 05:56:15,969 - INFO - predict_outcome [weighted]: top_k=['case_027', 'case_009', 'case_041', 'case_008', 'case_002'], predicted='mengadilinya yang dengan sengaja melakukan kekerasan atau ancaman kekerasan mema'
2026-06-27 05:56:15,978 - INFO - predict_outcome [majority]: top_k=['case_027', 'case_009', 'case_041', 'case_008', 'case_002'], predicted='mengadilinya yang dengan sengaja melakukan kekerasan atau ancaman kekerasan mema'
2026-06-27 05:56:15,989 - INFO - predict_outcome [weighted]: top_k=['case_026', 'case_014', 'case_032', 'case_025', 'case_030'], predicted='mengadili perkara perdata agama pada tingkat pertama dalamsidang majelis hakim y'
2026-06-27 05:56:15,999 - INFO - predict_outcome [majority]: top_k=['case_026', 'case_014', 'case_032', 'case_025', 'case_030'], predicted='mengadili perkara perdata agama pada tingkat pertama dalamsidang majelis hakim y'
2026-06-27 05:56:16,010 - INFO - predict_outcome [weighted]: top_k=['case_033', 'case_037', 'case_019', 'case_028', 'case_039'], predicted='mengadili perkara perkara pidana pada pengadilan tingkat pertama telah menjatuhk'
2026-06-27 05:56:16,019 - INFO - predict_outcome [majority]: top_k=['case_033', 'case_037', 'case_019', 'case_028', 'case_039'], predicted='mengadili perkara perkara pidana pada pengadilan tingkat pertama telah menjatuhk'
2026-06-27 05:56:16,028 - INFO - predict_outcome [weighted]: top_k=['case_020', 'case_015', 'case_048', 'case_013', 'case_019'], predicted='mengadili perkara pidana dengan acara pemeriksaan biasa pada peradilan tingkat p'
2026-06-27 05:56:16,039 - INFO - predict_outcome [majority]: top_k=['case_020', 'case_015', 'case_048', 'case_013', 'case_019'], predicted='mengadili perkara pidana dengan acara pemeriksaan biasa pada peradilan tingkat p'
2026-06-27 05:56:19,000 - INFO - Prediction eval: {'total_queries': 10, 'retrieval_hits_at_5': 10, 'retrieval_accuracy_at_5': 1.0, 'keyword_match_count': 7, 'keyword_match_rate': 0.7}
